duration,_type,ie_key,description,uploader,title,url,view_count,id
548,url,Youtube,,果籽,三色豆關注組｜最多人憎青豆？版主分享創意食法大平反 溝梳打水口感一流 #關注關注組 #籽想好食─果籽 香港 Apple Daily─原刊日期：20210617,GqqOWdJVA8o,,GqqOWdJVA8o
974,url,Youtube,,果籽,夫婦棄半山搬入500呎灣仔藍屋古蹟 廿戶單位各有特色：「情義有錢買唔到」#專題─果籽 香港 Apple Daily─原刊日期：20210618,jKnTov-82ig,,jKnTov-82ig
484,url,Youtube,,果籽,賽車少女｜10歲考小型賽車牌北上操車 愛坐爸爸GTR P牌即揸改裝凌志Altezza #CarMan─果籽 香港 Apple Daily─原刊日期：20210624,QQDDRJzkBFw,,QQDDRJzkBFw
935,url,Youtube,,果籽,冒牌帆立貝｜HKTVmall曾賣假貨 行內人爆浸藥水保鮮 K Kwong：唔知食咗咩落肚 #籽想好食─果籽 香港 Apple Daily─原刊日期：20210624,H7E1JFGADOo,,H7E1JFGADOo
411,url,Youtube,,果籽,聽力｜聽音頻自測聽覺年齡 聽力差或因耳中風 須把握兩星期治療黃金期 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210623,CLRepNSamQQ,,CLRepNSamQQ
1692,url,Youtube,,果籽,鈴木Jimny｜廿萬Jimny砌低百萬越野兩巨頭？ 泊S位快夾妥上長命斜見真章 #CarMan─果籽 香港 Apple Daily─原刊日期：20210624,HMociFi4Uno,,HMociFi4Uno
527,url,Youtube,,果籽,韓國街訪｜韓國人點睇MIRROR？對Edan最有好感 前男團成員評：跳舞需提升 #籽想旅行─果籽 香港 Apple Daily─原刊日期：20210622,HFZ-S6t-Ah8,,HFZ-S6t-Ah8
796,url,Youtube,,果籽,"錄影帶狂迷垃圾房搵錄影帶 藏逾3,000盒 親手維修發霉帶 電子化舊廣告保存香港歷史：「每個錄影帶都是時代紀錄」#時代遺物 #專題─果籽 香港 Apple Daily─原刊日期：20210616",aoOBtqY4yzE,,aoOBtqY4yzE
495,url,Youtube,,果籽,消夜｜瞓8小時可減500卡路里 食消夜非致肥元兇 惟增胃酸倒流風險 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210623,XkZ36JWDci0,,XkZ36JWDci0
521,url,Youtube,,果籽,北京狗｜傳說獅子後裔變小為與狨猴相愛 易有呼吸問題 #動物百科 #動物蘋台─果籽 香港 Apple Daily─原刊日期：20210622,VmJj99JegwU,,VmJj99JegwU
605,url,Youtube,,果籽,肝炎肝衰竭父求屍肝無果剩三日命 怕痛孝子捱2大刀救父親 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210620,2lg3pTodltk,,2lg3pTodltk
967,url,Youtube,,果籽,貓行為｜絕育公貓騎乘貓女至流血甩皮 治療師查明真相教用「防狼三寶」 #馴貓記 #動物蘋台─果籽 香港 Apple Daily─原刊日期：20210619,51HVZMtBqbE,,51HVZMtBqbE
1748,url,Youtube,,果籽,港美家庭一家四口住283呎公屋 美國妻產後抑鬱帶半歲B移民 港爸獨過節：「香港留不住她」#逃走他鄉的故事─果籽 香港 Apple Daily─原刊日期：20210621,61uY0qbLuWY,,61uY0qbLuWY
555,url,Youtube,,果籽,23歲學生哥車癡《頭文字D》迷高橋涼介上身 狂做兼職買Mazda轉子戰神RX-7 #CarMan─果籽 香港 Apple Daily─原刊日期：20210621,7jhMiiCW6DU,,7jhMiiCW6DU
842,url,Youtube,,果籽,廖啟智次子小薯茄John憶兒時脾氣差與父衝突 吹簫贈亡父：「悼念沒有你的父親節」#專題─果籽 香港 Apple Daily─原刊日期：20210620,uyjTURCEk44,,uyjTURCEk44
654,url,Youtube,,果籽,90後插畫師拎首期去移民英國讀藝術碩士 考11次IELTS克服英文差 畫漁市場搬遷用畫筆交友：「唔同崗位可以繼續努力」#逃走他鄉的故事─果籽 香港 Apple Daily─原刊日期：20210616,7QYJwrU5l7I,,7QYJwrU5l7I
454,url,Youtube,,果籽,菲林沖曬｜記者實試凍檸茶煮菲林 重口味Film Soup曬相蔣雅文都玩 #籽想旅行─果籽 香港 Apple Daily─原刊日期：20210619,E9oTdOkK_Ck,,E9oTdOkK_Ck
515,url,Youtube,,果籽,獨女帶78歲爸爸移民英國 捱過冬天封城 自己去超市講英文買餸 #逃走他鄉的故事─果籽 香港 Apple Daily─原刊日期：20210620,PKkG9tsf7uk,,PKkG9tsf7uk
757,url,Youtube,,果籽,慈山寺禪修｜秘訪觀音像後山體驗港版森林浴 #籽想旅行─果籽 香港 Apple Daily─原刊日期：20210621,D9oOu-Kq8cs,,D9oOu-Kq8cs
363,url,Youtube,,果籽,Apple認證｜Belkin MagSafe三合一無線充電器實測 iPhone 12用盡15W快速充電 #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210618,hM5_oOtY9SE,,hM5_oOtY9SE
707,url,Youtube,,果籽,空氣清新機｜Philips SAVEWO Blueair惡鬥密室超級濃煙 專家3招發揮最高性能 #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210620,2BNcQw2Wwiw,,2BNcQw2Wwiw
662,url,Youtube,,果籽,記者學做一日鳥類環誌員 清晨5點開工日捕30野生雀鳥記錄生態變化：「保護雀鳥等同保護地方」#一日職人 #動物蘋台─果籽 香港 Apple Daily─原刊日期：20210617,IpGkiK1TKc4,,IpGkiK1TKc4
321,url,Youtube,,果籽,疫苗｜睇片認識打疫苗前後4大注意事項 醫生建議注射前進行思想預習 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210620,8SHgtNg2WxI,,8SHgtNg2WxI
557,url,Youtube,,果籽,荔枝角有專業機師教揸A320 $300玩15分鐘1:1 模擬駕駛艙體驗 #專題─果籽 香港 Apple Daily─原刊日期：20210615,yNfdkGOQggM,,yNfdkGOQggM
295,url,Youtube,,果籽,MagSafe尿袋開箱實測！EGO、INFINITY、XPower無線充電尿袋 iPhone 12系列啱用 #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210615,zflnP9xYHQM,,zflnP9xYHQM
1334,url,Youtube,,果籽,80萬起Alfa Romeo Giulia VS 150萬起寶馬BMW M3！超級四門房車你撐意大利狂人定德國爆肌野獸？#CarMan─果籽 香港 Apple Daily─原刊日期：20210616,jxZICUPd2NI,,jxZICUPd2NI
654,url,Youtube,,果籽,媽媽辭職陪濕疹女兒戒類固醇 兩年半由爛肉滲血回復白滑皮膚：「每晚只能睡兩三小時」#健康蘋台─果籽 香港 Apple Daily─原刊日期：20210615,JgxW41xICsI,,JgxW41xICsI
853,url,Youtube,,果籽,日港夫婦結束西環咖啡店移居日本 記錄離港前一個月：「再回來時希望有出路」#逃走他鄉的故事─果籽 香港 Apple Daily─原刊日期：20210615,cC82nes54Qk,,cC82nes54Qk
562,url,Youtube,,果籽,非洲盾臂龜｜12歲盾臂龜歷坎坷童年 領養獲新生當復康中心龜醫生 #動物蘋台─果籽 香港 Apple Daily─原刊日期：20210615,xeTCMY_EKgE,,xeTCMY_EKgE
2148,url,Youtube,,果籽,"香港踏入低慾望世代？90後低慾望男月用$3,000五年儲80萬 70後中佬棄名利搬入長洲整麵包：「賺少啲，買回多點生活」#專題─果籽 香港 Apple Daily─原刊日期：20201225",YPdpjtJJA9E,,YPdpjtJJA9E
2189,url,Youtube,,果籽,退休校工無師自通屯門公園自製大筆地上寫詩 西貢海男徒手潛50米用魚叉打高速魚 90後靠把口演活51種聲效逼真馬叫、雀仔聲 #高手在民間#專題─果籽 香港 Apple Daily─原刊：20200817,4q-fLopIBvs,,4q-fLopIBvs
855,url,Youtube,,果籽,認識面盲症 連親人都認唔到？80後面盲症女生認不到五官分不到美醜  口罩下認錯陳奕迅湯洛雯 街訪8成人曾被認錯 #專題─果籽 香港 Apple Daily─原刊日期：20210102,4kb2muroBLs,,4kb2muroBLs
2395,url,Youtube,,果籽,3個90後患癌後如何面對的故事：90後患淋巴癌隱瞞家人拍片全紀錄網上分享 29歲女患罕見癌症 23歲女確診乳癌 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210111,6hk3Cwfy94w,,6hk3Cwfy94w
721,url,Youtube,,果籽,21歲男生獨愛女生翻白眼致有反應如做虧心事  愛睇白眼多過睇胸 曾做功課分析自己：「眼白越多越好」#健康蘋台─果籽 香港 Apple Daily─原刊日期：20210613,eHEx1BeN_rc,,eHEx1BeN_rc
841,url,Youtube,,果籽,前運動員13年生7個小朋友 1星期食1包米 月花5萬日洗4機衫 住獨立屋連大花園 開私立學校子女可免費讀書 老婆：「夠喇老公」#專題─果籽 香港 Apple Daily─原刊日期：20210614,wlAg-5v9QYM,,wlAg-5v9QYM
560,url,Youtube,,果籽,行駛32年第五代山頂纜車6月底退役 走進絕密機房拆解纜車運作：「相信纜車帶來好多美好甜蜜回憶」#籽想旅行─果籽 香港 Apple Daily─原刊日期：20210613,3r0zBjvxu54,,3r0zBjvxu54
339,url,Youtube,,果籽,開箱實測消暑Gadget！體感冷卻器vs冰感噴霧與退熱貼 實測平價產品降溫效果更強：「呢款有啲意想不到！」#GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210614,bJB0jKGVPYU,,bJB0jKGVPYU
406,url,Youtube,,果籽,中西醫拆解生育過多好與壞 第二胎細路妹營養會差？唔生仔就生瘤原來有根據 生仔多生瘤會少啲！#健康蘋台─果籽 香港 Apple Daily─原刊日期：20210615,5eWWH6LKaGI,,5eWWH6LKaGI
512,url,Youtube,,果籽,廿歲仔拒愛超跑 因《頭文字D》鍾情萬事得Mazda RX-8貪轉子引擎轉數快 自學點保住副偈：「現代化車輛無駕駛樂趣可言」#CarMan─果籽 香港 Apple Daily─原刊日期：20210614,SVN7KIGRxB0,,SVN7KIGRxB0
363,url,Youtube,,果籽,50後讚《ERROR自肥自肥企劃》過癮消暑 00後揀男友193人氣勝姜濤 #專題─果籽 香港 Apple Daily─原刊日期：20210614,_1viaJ4JVJk,,_1viaJ4JVJk
1294,url,Youtube,,果籽,ERROR追星族｜老婆陪193通宵傾心事騎呢應援 保錡為fans整歌 粉絲：偶像就似朋友 #專題─果籽 香港 Apple Daily─原刊日期：20210614,0vDSZGVEMYc,,0vDSZGVEMYc
587,url,Youtube,,果籽,布偶貓｜貓如其名軟綿綿如玩偶 易患腹膜炎注意4大病徵#動物蘋台 #動物百科 ─果籽 香港 Apple Daily─原刊日期：20210615,ypuueS1DwJs,,ypuueS1DwJs
494,url,Youtube,,果籽,實試冷鮮真空飯盒｜蘋果一樣會氧化 高溫曬半小時只升2度 #籽想好食─果籽 香港 Apple Daily─原刊日期：202120614,xss_LptTFsc,,xss_LptTFsc
1004,url,Youtube,,果籽,水塘靈探｜城門水塘戰壕最陰森靈探遇日軍 師傅：水鬼試過變成我個樣 #都市傳說 #專題─果籽 香港 Apple Daily─原刊日期：20210613,pfJwgKcB7ks,,pfJwgKcB7ks
637,url,Youtube,,果籽,帆布鞋｜$30白飯魚紅到去歐美 媲美$700五指赤足鞋 00後最愛着住跑山 #時代遺物 #專題─果籽 香港 Apple Daily─原刊日期：20210613,voulnXbdsAY,,voulnXbdsAY
1075,url,Youtube,,果籽,貓行為｜新貓入屋自殘扯毛加胡亂大小便 7貓主人求助望化解貓咪心結 #馴貓記 #動物蘋台─果籽 香港 Apple Daily─原刊日期：20210611,6a7Y1S-eLmo,,6a7Y1S-eLmo
274,url,Youtube,,果籽,Ratchet & Clank: Rift Apart《拉捷特與克拉克：時空裂縫》 PS5獨佔遊戲4K高畫質 配DualSense掣提升手感 #GadgetGuy─果籽 香港 Apple Daily,4pe5geHYF-w,,4pe5geHYF-w
861,url,Youtube,,果籽,二手Renault Clio｜雷諾買餸車變V6法國超跑 惡樣贏收視快開考膽量 #CarMan─果籽 香港 Apple Daily─原刊日期：20210614,QbnfPlnWOxg,,QbnfPlnWOxg
550,url,Youtube,,果籽,甲狀腺亢進｜25歲女生疑壓力大患甲亢 自覺肥腫難分失自信裸辭學瑜伽抗病 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210613,S_SOJWSQBLM,,S_SOJWSQBLM
816,url,Youtube,,果籽,香港配音員｜TVB外已無全職配音員 錄音當日先有稿 分享配BL、床戲心得 #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210611,KqtGRZiIEWY,,KqtGRZiIEWY
823,url,Youtube,,果籽,Dog Training｜惡犬見狗即撲吠 三個犬訓師先後出手未見改善 4個步驟2周見奇蹟 #訓犬記 #動物蘋台─果籽 香港 Apple Daily─原刊日期：20210610,yFR0n4ksRhY,,yFR0n4ksRhY
562,url,Youtube,,果籽,淋巴癌｜80／90後康復者癌癒轉行不求名利 組抗癌勇士隊與患者齊上齊落 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210611,52MXEz1f7xw,,52MXEz1f7xw
403,url,Youtube,,果籽,全球疫苗優惠｜長實送2千萬消費券可買新樓 英國用交友平台美國剪髮谷針 #專題─果籽 香港 Apple Daily─原刊日期：20210610,MC_sfyoYKkE,,MC_sfyoYKkE
538,url,Youtube,,果籽,Benz跑｜機械迷鍾情80s開篷300SL 結婚當花車 親手維修保原裝靚樣 #CarMan─果籽 香港 Apple Daily─原刊日期：20210610,uyVGQdaR9bY,,uyVGQdaR9bY
664,url,Youtube,,果籽,他媽哥池｜狂迷花15萬收藏380部 最貴2萬買限量版：儲機好過儲手袋 #時代遺物 #專題─果籽 香港 Apple Daily─原刊日期：20210610,NzjcE-xZz_U,,NzjcE-xZz_U
1483,url,Youtube,,果籽,23歲「A0女神」擁30位追求者全部Friend zone 靚女難拍拖？ 心理學家：男賺女蝕性邏輯 #愛情BlahBlahBAR #專題─果籽 香港 Apple Daily─原刊日期：20210610,hy8x-Ol1xLs,,hy8x-Ol1xLs
1021,url,Youtube,,果籽,貓行為｜驚青貓住衣櫃險中暑 有人在家即不食不喝 3周訓練成功走出衣櫃 #馴貓記 #動物蘋台─果籽 香港 Apple Daily─原刊日期：20210606,bfLXLJGLloE,,bfLXLJGLloE
279,url,Youtube,,果籽,用八達通拎電子消費券必知的Q&A！7月登記預習領取消費券須知 爆額可分開領取 #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210610,umsbRhcY0ts,,umsbRhcY0ts
199,url,Youtube,,果籽,開箱$380限量版電車大富翁 4款金色特別電車棋子超細緻 充滿電車元素誠意十足 #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210611,5gx_D0eFCyY,,5gx_D0eFCyY
954,url,Youtube,,果籽,47萬起MINI Cooper SE電動車試車 234公里續航力難勝任腳車 Go-Kart特性啱做玩樂車 #CarMan─果籽 香港 Apple Daily─原刊日期：20210609,S79MiYOjweg,,S79MiYOjweg
707,url,Youtube,,果籽,腸粉關注組引大圍坤記和華輝手撕雞罵戰 大角嘴小店竟好食過米芝蓮合益泰 #關注關注組 #籽想好食─果籽 香港 Apple Daily─原刊日期：20210609,Vkpywl3X_I4,,Vkpywl3X_I4
752,url,Youtube,,果籽,26歲建築系港男移民台灣開人氣茶餐廳 堅持港味用貴4倍黃檸檬 免費送飯助醫護抗疫：「30歲前無嘢輸搏一搏」#逃走他鄉的故事─果籽 香港 Apple Daily─原刊日期：20210609,NAwZIBVK0Ic,,NAwZIBVK0Ic
528,url,Youtube,,果籽,回憶70/80後兒時DIY玩意重溫天下太平＋東南西北＋彈擦膠＋射馬子《香港重機》Felix：「依家創意反而落後咗」 #時代遺物 #GadgetGuy─果籽 香港 Apple Daily,SmzwX01FjTQ,,SmzwX01FjTQ
609,url,Youtube,,果籽,Apple Music高清無損音樂免費提供唔加價 達人解答5大疑問Lightning轉插B&W PI7最佳播放利器 #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210611,WL6czRlUL4k,,WL6czRlUL4k
301,url,Youtube,,果籽,小朋友張口呼吸易打瞌睡可能係鼻敏感！醫生：「噴鼻劑副作用少有效抗敏」#健康蘋台─果籽 香港 Apple Daily─原刊日期：20210608,glgI3qL7-WU,,glgI3qL7-WU
518,url,Youtube,,果籽,「低車身狂熱愛好者」將本田雅閣Honda Accord改至離地僅3cm 撞爛無所謂有人欣賞大滿足：「唔為快只為風格」#CarMan─果籽 香港 Apple Daily─原刊日期：20210607,_5In_vzIu-c,,_5In_vzIu-c
517,url,Youtube,,果籽,將軍澳全黃良心美食廣場告急！遭業主勸退或七月結業 市民跨區懲罰：「所有擁有良心的鋪頭都值得發展望大財團看見」#籽想好食─果籽 香港 Apple Daily─原刊日期：20210608,WjVBZYcHwXg,,WjVBZYcHwXg
1069,url,Youtube,,果籽,Sogo同fusion都賣冒牌帆立貝？記者落銅鑼灣SOGO發覺國貨扮日產！賣大埔業務超市同款假貨 日本認證機構揭6大偽冒證據 #籽想好食─果籽 香港 Apple Daily─原刊日期：20210608,aeeilXRUGz8,,aeeilXRUGz8
527,url,Youtube,,果籽,英女皇最愛的玩具狗松鼠狗 可愛外表暗藏四種病痛危機：「特別多皮膚病、關節病、氣管收縮⋯⋯」#動物百科 #動物蘋台─果籽 香港 Apple Daily─原刊日期：20210606,sNS4Rv9_GPw,,sNS4Rv9_GPw
611,url,Youtube,,果籽,世界海洋日：香港4年逾40條海豚死於人為因素 海龜成肚膠袋遭鬼網緊纏：「不能每件事靠政府，市民有很多東西做到」#動物蘋台─果籽 香港 Apple Daily─原刊日期：20210608,za4DlbOHdlY,,za4DlbOHdlY
426,url,Youtube,,果籽,飲食陷阱｜低卡蒟蒻零營養 減肥功效屬幻覺 回復正常飲食快速反彈 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210607,1hml5l5sPAo,,1hml5l5sPAo
497,url,Youtube,,果籽,Sony WF-1000XM4評測｜靚聲降噪真無線耳機  8小時續航LDAC聽無損音樂 #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210609,rYa2sQtAyJs,,rYa2sQtAyJs
639,url,Youtube,,果籽,回顧80年代「飛圖卡拉OK MV」梁芷珊曾做過百MV主角 親述飛圖尷尬畫面之謎：「 完全沒劇情、沒內容、連主唱歌手都沒有」#專題─果籽 香港 Apple Daily─原刊日期：20210607,5F1NF6Mk0Wc,,5F1NF6Mk0Wc
305,url,Youtube,,果籽,反修例2周年 你還記得兩年前 由維園至政總遊行路線上發生過的事嗎？ #專題─果籽 香港 Apple Daily─原刊日期：20210609,-4crrqukD60,,-4crrqukD60
1190,url,Youtube,,果籽,港產日系偶像女團「乙女新夢」打低上原亞衣奪日本偶像比賽冠軍 記者直擊成軍之路 放工後仍堅持練習無懼惡評：「你唔做就無機會」#專題─果籽 香港 Apple Daily─原刊日期：20210606,4VYG6d5nQ7k,,4VYG6d5nQ7k
613,url,Youtube,,果籽,鋼琴老師一屋養600隻毛蜘蛛 親手為毛蜘蛛脫皮接生：「會當狗狗咁同毛蜘蛛傾偈」#動物蘋台─果籽 香港 Apple Daily─原刊日期：20210605,c4Td6DtaVkk,,c4Td6DtaVkk
500,url,Youtube,,果籽,鼻敏感必飲湯水推介！夏天原來會加劇鼻敏感症狀 中醫推介益氣湯水與茶療助改善 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210606,_nxw3c_8GTw,,_nxw3c_8GTw
992,url,Youtube,,果籽,30萬起Kia Sorento亞柴油SUV試車好足料！2號牌出車油費幾毫子一公里 #CarMan─果籽 香港 Apple Daily─原刊日期：20210605,OYsDUgaGn8A,,OYsDUgaGn8A
578,url,Youtube,,果籽,致堅持的人：24歲社工兩度挑戰墨西哥行去加拿大走過4787公里 每日行10小時 遇風雪險截肢 疫下再戰半年終成功 #籽想旅行─果籽 香港 Apple Daily─原刊日期：20210607,jWqC2VR_voI,,jWqC2VR_voI
547,url,Youtube,,果籽,卡拉OK｜為唱K去夜場做侍應 30年K迷以K房為家：有方法唱冇版權的歌 #專題─果籽 香港 Apple Daily─原刊日期：20210605,HHWw7CKDZks,,HHWw7CKDZks
600,url,Youtube,,果籽,實試1小時銅鑼灣糖街鬼屋 以都市傳說作藍本模擬火災兼要做燒腦解謎任務 記者嚇到肚痛 負責人：「呢度真係有靈體」#一星旅行團 #籽想旅行─果籽 香港 Apple Daily─原刊日期：20210605,5kyl54g1oaY,,5kyl54g1oaY
1003,url,Youtube,,果籽,鬥快放工時間由柴灣殺入元朗！$100預算行西隧 VS 東隧邊個性價比贏？2個年代萬事得Mazda MX-5塞入元朗 #CarMan─果籽 香港 Apple Daily─原刊日期：20210606,4LpzxsRNu4U,,4LpzxsRNu4U
572,url,Youtube,,果籽,記者實試$38家用真空拔罐器＋中國特色隨身艾灸套裝！家用拔罐易漏氣難反映健康 中醫教分罐印顏色越深越大鑊 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210605,B5yrdzdlw5Y,,B5yrdzdlw5Y
290,url,Youtube,,果籽,皮膚乾代表欠缺Omega-3？能有抗炎及紓緩炎症 但Omega-3濃度高唔代表係好？ 營養師醒你五大選購Tips #健康蘋台─果籽 香港 Apple Daily─原刊日期：20200525,gYw2A7scqjc,,gYw2A7scqjc
496,url,Youtube,,果籽,WWDC2021懶人包｜iOS更新FaceTime超進化 iPad強化multitasking #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210608,vvBH7LavhGA,,vvBH7LavhGA
6682,url,Youtube,,果籽,Apple發佈會｜直播WWDC 2021 搶先睇最新iOS 15新功能,jdoQ02aXaEc,,jdoQ02aXaEc
815,url,Youtube,,果籽,「香港卡拉OK之母」1986年首引進卡拉OK月賺2千萬到一鋪清 一首《越吻越傷心》搶生意 細數Neway恩怨情仇：「曾被背叛抄襲」#專題─果籽 香港 Apple Daily─原刊日期：20210606,nj7qELZ19PU,,nj7qELZ19PU
608,url,Youtube,,果籽,"27歲仔全職炒股未返過工 日賺超過100萬蝕40萬面不改容 目標賺5,000萬已達成1/5：「炒股感覺能控制人生」#專題─果籽 香港 Apple Daily─原刊日期：20210603",_6KUFk9fr24,,_6KUFk9fr24
519,url,Youtube,,果籽,香港本地品牌SPI護脊書包曾日賣600個 比普通書包重1.5倍 靠脊板扣帶卸力 元祖有轆書包：「參考空中服務員行李箱」#時代遺物 #專題─果籽 香港 Apple Daily─原刊日期：20210606,xARth_4llm0,,xARth_4llm0
212,url,Youtube,,果籽,貓狗美食｜愛狗太太進修鮮食營養學 創業推寵物壽司 美式快餐連端午糭 #動物蘋台─果籽 香港 Apple Daily─原刊日期：20210604,hDJ1hnTRIus,,hDJ1hnTRIus
188,url,Youtube,,果籽,Necromunda: Hired Gun《奈克羅蒙達：槍手》第一身稱射擊 扮演傭兵與機械獵犬展開冒險 #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210602,oxpoNQc9vtk,,oxpoNQc9vtk
919,url,Youtube,,果籽,記者實試一日做愛協動物拯救督察！救野生貓頭鷹、蝙蝠 幼貓被困車頭引擎搜救全過程 #一日職人 #動物蘋台─果籽 香港 Apple Daily─原刊日期：20210602,mFCUMAR_OBY,,mFCUMAR_OBY
665,url,Youtube,,果籽,網上尋人｜失散30年 80後憑舊相及出世紙成功尋生母：只想了個心結 #專題─果籽 香港 Apple Daily─原刊日期：20210604,xzE0eC5J5aY,,xzE0eC5J5aY
485,url,Youtube,,果籽,許留山清盤｜90年代hit爆連Twins都唱 日本人旅遊必飲 80後：已經out咗 #籽想好食─果籽 香港 Apple Daily─原刊日期：20210604,ppb9e_3k9LY,,ppb9e_3k9LY
